Movement,File,NumColors,AvgR,AvgG,AvgB,Gray0,Gray25,Gray50,Gray75,Gray100,Gray125,Gray150,Gray175,Gray200,Gray225,Red0,Red25,Red50,Red75,Red100,Red125,Red150,Red175,Red200,Red225,Green0,Green25,Green50,Green75,Green100,Green125,Green150,Green175,Green200,Green225,Blue0,Blue25,Blue50,Blue75,Blue100,Blue125,Blue150,Blue175,Blue200,Blue225
CritRealism,Repin_VenchanieNikolaia2,9443,78,98,87,1235,1011,1206,1296,1061,1052,1165,818,728,428,932,860,1015,1310,1360,1571,1362,663,516,411,1461,988,1201,1112,950,921,1198,869,767,533,119,2700,1690,1307,1110,1191,928,634,254,67
CritRealism,Repin_Zaporozhtsi,9031,242,243,211,1712,1864,1437,958,781,656,582,518,594,898,1382,1307,1229,1044,874,841,662,634,682,1345,1759,2081,1347,885,758,658,550,496,576,890,3641,1933,1104,689,581,436,417,550,614,35
CritRealism,Surikov_Avtoportret,5047,53,41,45,2395,1766,1839,1804,1325,372,251,96,39,113,2204,1539,670,1605,1546,1264,521,193,322,136,2657,1940,1830,1974,950,250,196,56,35,112,922,3347,2145,2257,911,198,56,26,65,73
CritRealism,Surikov_BoyariniaMorozova,8583,119,103,78,700,1417,1345,1112,904,686,524,870,1457,985,279,1128,1200,1261,1107,861,693,677,1395,1399,847,1468,1288,1083,864,650,505,898,1436,961,1126,1813,1381,957,623,500,721,1166,1308,405
CritRealism,Surikov_Boyaryshnia,6619,144,108,82,1172,3908,2463,959,466,556,416,60,0,0,865,2498,2504,1661,973,597,695,207,0,0,1342,4283,2229,737,442,515,396,56,0,0,1459,5317,1686,540,481,352,165,0,0,0
CritRealism,Surikov_GrebetsVLodke,4810,169,155,144,837,3724,1035,239,125,111,1609,2300,20,0,136,2481,1584,952,579,269,395,3432,172,0,1809,3253,599,192,125,103,1881,2022,16,0,804,4350,610,170,69,111,3111,766,9,0
CritRealism,Surikov_KazakDmitriySokol,7495,124,108,109,242,2266,1917,994,1260,1052,1271,634,245,119,565,1912,1422,866,926,1060,1286,1289,518,156,253,2541,1820,1155,1123,1020,1197,544,221,126,0,757,2677,1983,1614,1535,954,297,132,51
CritRealism,Surikov_MenshikovVBerezove,3674,14,13,19,7156,1757,558,163,104,62,39,19,26,116,6198,1874,817,477,199,135,91,43,33,133,7552,1575,406,142,85,52,33,13,26,116,7259,2164,217,86,63,41,20,17,35,98
CritRealism,Surikov_PerekhodSuvorovaCherezAlpy,7509,55,55,55,835,1604,1815,1466,900,716,718,751,884,311,782,1573,1744,1499,1004,743,728,772,888,267,867,1631,1772,1463,896,702,715,753,866,335,860,1588,1989,1313,903,684,663,774,941,285
CritRealism,Surikov_PortretP.F.Surikovoy,4186,122,101,100,62,3368,1148,608,1884,2488,275,167,0,0,1,2502,1771,589,678,2590,1311,391,167,0,161,3509,986,682,2418,1857,269,118,0,0,79,3478,1147,1240,3221,746,87,2,0,0
CritRealism,Surikov_UtroStreletskoiKazni,7156,233,237,222,477,2815,1656,1328,1031,700,320,150,119,1404,383,2298,1753,1253,1129,762,516,287,156,1463,514,2880,1640,1321,1021,671,297,141,113,1402,930,3298,1744,1306,781,260,140,92,251,1198
CritRealism,Surikov_ZhenskiyPortret,5407,192,179,160,3335,1618,900,506,715,920,1031,798,68,109,3137,1621,858,456,444,676,870,1303,370,265,3450,1594,893,526,827,844,1064,642,55,105,2865,2032,1003,746,1016,1094,815,300,42,87
Icons,Rublev_ApostolPavelIzDeisusnogoChina,6610,135,109,82,54,808,1954,2472,1618,973,1269,780,71,1,14,75,882,1909,2238,1508,1125,1563,673,13,126,1042,2008,2482,1410,886,1241,741,63,1,1476,2473,2627,1468,1266,529,146,15,0,0
Icons,Rublev_BozhieMateri,6666,78,67,35,18,767,529,447,447,334,1060,3199,2904,295,8,320,727,383,402,457,712,2084,3811,1096,39,792,538,468,394,317,1046,3227,2880,299,170,908,630,508,534,1695,3172,2080,301,2
Icons,Rublev_DeisusniyChin1,9044,105,90,61,0,46,1331,2987,2559,1520,1084,463,10,0,2,31,170,985,1950,2491,2262,1394,697,18,0,113,1824,2961,2301,1295,1033,460,13,0,2786,2391,2147,1997,546,123,10,0,0,0
Icons,Rublev_DeisusniyChin2,9185,236,246,255,69,847,1661,1421,1796,2082,1359,590,12,163,40,416,841,897,1237,1430,1564,1751,1478,346,82,1092,1874,1286,1978,1937,1126,453,9,163,1251,2736,3166,1815,649,137,55,20,9,162
Icons,Rublev_DeisusniyChin3,9242,253,244,255,3,1362,3098,2367,851,1478,449,42,95,255,94,662,1479,1664,1337,975,1808,1410,270,301,14,1998,3619,1358,1009,1367,246,41,105,243,631,5280,2485,1049,136,20,25,47,115,212
Icons,Rublev_DeisusniyChin4,8874,217,255,255,18,809,1767,2017,2205,1491,1059,259,130,245,73,509,882,1316,1730,1555,1296,1218,973,448,18,880,2022,2047,2208,1505,781,181,114,244,219,3334,3832,1770,326,27,76,139,47,230
Icons,Rublev_EvangelistIoann,9401,220,202,154,68,78,480,1943,3563,1825,1214,578,251,0,67,186,434,1068,2004,2634,1796,1417,384,10,69,101,552,2310,3081,1855,1212,517,303,0,153,1703,2210,1737,1819,1429,585,344,20,0
Icons,Rublev_EvangelistLuka,9692,122,171,142,140,366,597,1552,2458,1787,1276,1074,694,56,403,468,706,875,1103,1057,1750,1648,1440,550,95,346,985,1852,1951,1587,1254,981,804,145,315,1654,2343,1490,1268,1308,1198,392,32,0
Icons,Rublev_Michael_the_Archangel_Zvenigorodskii,8394,59,52,44,0,27,781,2278,2964,1784,615,658,761,132,0,4,212,969,1848,2278,2013,939,651,1086,0,86,1048,2505,2960,1380,542,618,692,169,2,595,4005,3220,1403,682,89,2,2,0
Icons,Rublev_PrazdnichniyChin1,9462,230,255,255,116,1266,1417,1938,1526,1820,1344,408,71,94,14,327,968,820,738,1295,1527,2074,1771,466,212,1509,2017,1392,1519,1621,1192,390,55,93,6012,2973,580,87,80,88,42,40,42,56
Icons,Rublev_PrazdnichniyChin2,8774,145,136,95,468,531,552,1158,978,1212,1894,1318,1337,552,197,601,504,555,740,1109,1781,1825,1577,1111,533,601,818,844,924,1076,1845,1368,1359,632,623,1181,1842,1805,1350,1104,1339,718,38,0
Icons,Rublev_PrazdnichniyChin3,9158,221,194,177,151,681,1562,1228,1318,1174,982,1337,1312,255,67,545,989,1515,1011,980,1349,1262,1408,874,175,839,1439,1261,1195,1123,913,1349,1437,269,438,2165,2488,1458,1134,913,740,580,81,3
Icons,Rublev_PrazdnichniyChin4,8957,89,43,46,207,1250,1238,1930,1573,2110,1377,315,0,0,97,1006,859,1240,1565,1627,1931,1355,319,1,258,1253,1407,1839,1567,2086,1251,335,4,0,1108,2549,2753,2423,1022,143,2,0,0,0
Icons,Rublev_PrazdnichniyChin5,8868,101,90,120,1,1219,2635,1807,1261,1275,1123,589,90,0,16,847,1656,1857,1356,1314,1292,1179,465,18,9,1508,2667,1578,1275,1194,1062,590,116,1,33,2099,4575,1845,1017,391,39,1,0,0
Icons,Rublev_SpasIzDeisusnogoChina,5158,136,110,77,21,247,544,2569,3510,2529,501,63,12,4,6,132,221,520,1833,3454,3100,648,75,11,24,296,721,3044,3392,2069,384,56,10,4,43,914,5326,2735,880,77,12,6,7,0
Icons,Rublev_Sretenie,9070,162,148,109,16,567,1263,1506,1999,1484,1564,1091,441,69,39,274,388,1323,1036,1607,1811,2336,1076,110,28,934,1379,1299,1985,1325,1479,1021,476,74,42,1350,3301,2096,1439,830,370,411,153,8
Icons,Rublev_Troitsa,8015,144,127,75,0,349,677,678,1382,2666,2378,1357,430,83,0,88,741,434,549,1351,2611,2636,1318,272,0,416,635,703,1452,2606,2287,1369,447,85,203,1339,2724,2818,1701,800,282,133,0,0
Icons,Rublev_TsarskieVorota1,8838,199,167,106,231,820,943,1855,1535,1744,2654,217,1,0,313,508,459,588,637,788,2421,4043,240,3,229,1020,1632,1686,998,1866,2354,211,4,0,955,2948,1963,2408,1435,230,59,2,0,0
Icons,Rublev_TsarskieVorota2,9156,161,138,96,54,688,1121,1064,1406,2264,2032,1294,70,7,45,268,577,869,836,1385,2207,1968,1585,260,174,899,1076,1125,1414,2216,1869,1174,47,6,274,1356,2062,2395,2746,1092,56,15,2,2
